property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
16027,-37.707024,144.89793,26 Hannah Pascoe Drive,GOWANBRAE, WYNDHAM ,20032,1.7209727676778253,28,1,99,43,33,20
16669,-37.69966,144.91675,18 King Street,GLENROY, WYNDHAM ,20031,0.5104771839902136,30,1,99,43,33,20
48148,-37.811165,145.02286,24 Bowen Street,KEW, SOUTH GIPPSLAND ,19905,1.1867741077609582,10,1,2,0,0,0
57769,-37.815403,145.16545,2 Kerrylyn Court,BLACKBURN, GREATER GEELONG ,19899,1.01207002189258,28,1,1,2,2,1
22917,-37.7534,144.95312,5 Shaftsbury Street,COBURG, MOONEE VALLEY ,19966,0.775021824431127,21,1,41,17,12,6
90926,-37.970356,145.06754,66 Evesham Road,CHELTENHAM, YARRA RANGES ,19866,1.2112808046414871,40,1,5,3,2,1
68392,-37.86425,145.0267,23 Railway Avenue,ARMADALE, BRIMBANK ,19944,0.31840171905636816,18,1,77,34,21,12
7593,-37.742863,144.77402,60 Dover Street,ALBANVALE, HEPBURN ,20001,2.302246636296108,31,1,-1,0,0,0
53935,-37.81513,144.99495,97 Highett Street,RICHMOND, EAST GIPPSLAND ,19978,0.3107669197563608,14,1,1,0,0,0
63540,-37.81032,145.29279,14 Nyanda Court,CROYDON, CARDINIA ,19878,1.9734673497884447,42,1,25,10,5,3
37810,-37.643566,145.02686,846 High Street,EPPING, FRANKSTON ,20005,1.0236388960667726,51,1,3,3,2,1
8417,-37.7496,144.75499,31 Illawong Terrace,BURNSIDE, MOYNE ,20002,4.001194985096641,28,1,0,0,0,0
66259,-37.780846,145.31322,34 Aintree Street,MOOROOLBARK, WEST WIMMERA ,19877,0.4403642536591135,46,1,0,0,0,0
31114,-37.75693,144.9861,31 Newman Street,THORNBURY, LATROBE ,20014,1.1174479771221608,31,1,2,2,1,0
7940,-37.778774,144.79956,78 Blanche Street,ARDEER, SWAN HILL ,20004,2.215699122642582,23,1,1,0,0,0
16386,-37.695934,144.92406,117 View Street,GLENROY, WYNDHAM ,20031,0.7283569079530308,30,1,99,43,33,20
36790,-37.644962,145.05174,12 Meadow Glen Drive,EPPING, FRANKSTON ,45795,1.426310211834555,54,1,3,3,2,1
86754,-37.9244,145.00294,42a Roslyn Street,BRIGHTON, HUME ,19938,2.85721027333225,32,1,332,214,155,80
36597,-37.6618,145.02724,9 Coral Court,LALOR, KINGSTON ,20006,0.993281482182324,48,1,13,4,2,1
64456,-37.801872,145.27393,4/9 Bayswater Road,CROYDON, CARDINIA ,19878,0.9260544167742479,42,1,25,10,5,3
4482,-37.83677,144.86783,45 Graham Street,NEWPORT, MANSFIELD ,20023,4.1847786647501355,15,1,0,0,0,0
16808,-37.7007,144.9075,21 Valley Crescent,GLENROY, WYNDHAM ,20032,0.9566723488888393,28,1,99,43,33,20
62314,-37.794415,145.25159,8 Marilyn Crescent,RINGWOOD, MACEDON RANGES ,19879,1.957861137320292,38,1,1,1,1,0
5539,-37.78244,144.85492,16 Kenneth Street,BRAYBROOK, HUME ,20022,2.0005402047405108,17,1,332,214,155,80
72710,-37.87069,145.28455,1/133 Dorset Road,BORONIA, TOWONG ,19869,1.1397066324718947,44,1,0,0,0,0
93383,-37.99759,145.07831,45 McIndoe Parade,PARKDALE, STONNINGTON ,19864,0.5313056738393684,45,1,19,4,3,1
27027,-37.58876,144.9387,48 Emerald Circuit,CRAIGIEBURN, YARRA RANGES ,40221,1.509335238325493,41,1,5,3,2,1
93257,-37.996967,145.09654,35 Bradshaw Street,MORDIALLOC, PORT PHILLIP ,19863,1.3239561357720009,48,1,25,8,5,3
449,-37.791924,144.89117,179 Ballarat Road,FOOTSCRAY, WHITTLESEA ,20024,1.1781565743024165,13,1,152,69,45,23
92956,-37.989826,145.08653,20 MacGregor Street,PARKDALE, STONNINGTON ,19864,0.9657839763000833,45,1,19,4,3,1
32714,-37.748226,144.99263,3C Austral Avenue,PRESTON, BOROONDARA ,20013,0.7258906422323798,33,1,12,3,2,1
63837,-37.787437,145.3045,2/10 Caromar Street,CROYDON, CARDINIA ,19877,0.7553059960073744,46,1,25,10,5,3
68616,-37.858166,145.02057,62 Kooyong Road,ARMADALE, BRIMBANK ,19945,0.21981174717787622,16,1,77,34,21,12
31712,-37.75315,145.0187,11 Adams Street,PRESTON, BOROONDARA ,20014,1.7847835952429614,31,1,12,3,2,1
81795,-37.990013,145.24998,141 Doveton Avenue,DOVETON, HINDMARSH ,19888,3.5320003451455606,46,1,0,0,0,0
16866,-37.699127,144.94029,234 West Street,GLENROY, WYNDHAM ,19961,1.6457197556948722,30,1,99,43,33,20
13210,-37.7233,144.76701,5 Basalt Court,DELAHEY, BULOKE ,20001,2.4452746587158494,31,1,0,0,0,0
13646,-37.754814,144.9138,1/22a Violet Street,ESSENDON, NILLUMBIK ,20037,0.2491311196957749,16,1,4,1,1,1
60688,-37.838802,145.18521,30 Woodcrest Road,VERMONT, CENTRAL GOLDFIELDS ,19899,2.2197740974008484,28,1,0,0,0,0
39465,-37.70793,145.05339,11 Greenwood Drive,BUNDOORA, WODONGA ,19983,2.4444053107145916,39,1,3,0,0,0
11179,-37.771664,144.87561,17 Nayook Lane,MARIBYRNONG, BAW BAW ,20022,3.266825435427667,17,1,3,0,0,0
65682,-37.78394,145.31017,11 Ricky Court,MOOROOLBARK, WEST WIMMERA ,19877,0.2164499649485645,46,1,0,0,0,0
56174,-37.851067,145.11182,12 McComas Grove,BURWOOD, MARIBYRNONG ,19849,2.7521888818456004,25,1,22,7,5,3
34735,-37.729935,145.03024,34 Crevelli Street,RESERVOIR, EAST GIPPSLAND ,20011,2.4245509774816845,37,1,1,0,0,0
87739,-37.932446,144.99916,43 Margarita Street,HAMPTON, WYNDHAM ,19938,3.2899377852583975,32,1,99,43,33,20
37268,-37.647614,145.03064,3/48 Davisson Street,EPPING, FRANKSTON ,20005,0.5333429717953995,51,1,3,3,2,1
